,avg(pkt_len),stddev(pkt_len),fb_ratio,inter_arrival_time,pkt_count,duration,pkt_len,is_tcp,outcome
65,154.03571428571428,316.5430732076872,1.1538461538461535,0.02289848148148181,28,0.618259000000009,4313.0,1,streaming
31,159.94736842105263,289.6329216841695,1.28,3.8675227857142858,57,216.581276,9117.0,1,streaming
309,1282.492665036675,129.9226983050758,-1.0,0.002426951040391667,818,1.982818999999992,1049079.0,1,streaming
466,105.17391304347828,201.55726733563907,1.0909090909090908,0.2539259545454558,23,5.586371000000028,2419.0,1,streaming
394,1290.2570725707258,121.0057670318502,-1.0,0.0022195517241379386,813,1.8022760000000064,1048979.0,1,streaming
28,1310.4413043478262,103.72772527998009,-1.0,0.09976844444444448,460,45.79371600000002,602803.0,1,streaming
404,1282.492665036675,129.9226983050758,-1.0,8.143329253365689e-05,818,0.06653099999999768,1049079.0,1,streaming
290,198.0,-1.0,0.0,-1.0,1,0.002021000000013373,198.0,0,streaming
134,1318.9597989949748,29.347681887345107,-1.0,0.0015050477987421154,796,1.1965129999999815,1049892.0,1,streaming
320,1281.8973105134473,130.86302075390185,-1.0,0.002496962056303545,818,2.0400179999999963,1048592.0,1,streaming
156,32.0,0.0,1.0,0.0011923333333309456,4,0.003576999999992836,128.0,1,streaming
202,155.33333333333334,301.0964055822412,1.25,0.002942204545449427,45,0.12945699999977478,6990.0,1,streaming
478,163.29166666666666,333.2293216346687,1.0,0.2434204782608696,24,5.598671,3919.0,1,streaming
93,159.0,321.46036961151094,1.0769230769230769,0.005584961538464593,27,0.1452090000000794,4293.0,1,streaming
232,498.0,-1.0,0.0,-1.0,1,0.0033040000000141845,498.0,0,streaming
402,1291.2570725707258,118.43753561332878,-1.0,0.0022310344827586193,813,1.8115999999999983,1049792.0,1,streaming
43,48.52238805970149,135.24157490242985,-1.0,0.6937977878787879,67,45.790653999999996,3251.0,1,streaming
355,109.13636363636364,205.4454615277195,1.2,0.2684729047619093,22,5.637931000000094,2401.0,1,streaming
373,1289.6953316953318,121.98870979083887,-1.0,0.0022731217712177194,814,1.8480480000000057,1049812.0,1,streaming
219,246.0,-1.0,0.0,-1.0,1,0.002370000000041728,246.0,0,streaming
491,192.0,173.1790980459247,0.5,163.71051599999996,3,327.421032,576.0,0,streaming
114,1320.0,0.0,-1.0,0.0005326738035264532,795,0.4229430000000036,1049400.0,1,streaming
242,312.0,-1.0,0.0,-1.0,1,0.0015859999999747745,312.0,0,streaming
297,516.0,-1.0,0.0,-1.0,1,0.0035190000000397967,516.0,0,streaming
45,360.57142857142856,492.6444675712612,1.0,0.006313076923084702,14,0.08207000000010113,5048.0,1,streaming
231,355.0,-1.0,0.0,-1.0,1,0.0584360000000288,355.0,0,streaming
170,64.29032258064517,56.47311664168896,0.9375,14.179606366666668,31,425.388191,1993.0,1,streaming
193,100.61111111111113,124.49079777300301,1.0,6.157967314285715,36,215.52885600000002,3622.0,1,streaming
191,667.5576066199873,622.9637553414906,0.6910656620021528,0.007571028662420383,1571,11.886515,1048733.0,1,streaming
237,498.0,-1.0,0.0,-1.0,1,0.04509300000000849,498.0,0,streaming
482,204.32352941176467,343.1969767992362,1.0,0.2389718787878788,34,7.886072,6947.0,1,streaming
151,117.34883720930232,157.5172645956336,1.0975609756097562,0.6738364823529389,86,57.27610099999981,10092.0,1,streaming
104,1317.1041405269764,57.69888431918524,-1.0,0.013109659547738723,797,10.435289000000026,1049732.0,1,streaming
46,1320.0,0.0,-1.0,0.00026758186397980423,795,0.21245999999996454,1049400.0,1,streaming
77,96.9090909090909,131.77439398111798,1.2,0.015833900000001226,11,0.15833900000001222,1066.0,1,streaming
63,227.16326530612244,403.660766555015,0.96,4.4904166875,49,215.540001,11131.0,1,streaming
123,1320.0,0.0,-1.0,0.0025836637279596786,795,2.0514289999999846,1049400.0,1,streaming
67,24.42857142857143,11.716898663286045,0.75,0.03602299999999955,7,0.21613799999999728,171.0,1,streaming
295,460.0,-1.0,0.0,-1.0,1,0.1355180000000047,460.0,0,streaming
180,114.2,206.76223596736,1.0,0.10899922222222358,10,0.9809930000000122,1142.0,1,streaming
27,125.91666666666669,157.88226818126412,1.4,0.001493181818179065,12,0.016424999999969714,1511.0,1,streaming
48,224.5882352941176,397.780570607642,1.125,1.8789439999999995,17,30.063103999999992,3818.0,1,streaming
454,31.375,14.090903854209332,1.0,0.000494857142857162,8,0.0034640000000001336,251.0,1,streaming
38,32.0,0.0,1.0,0.024337000000002718,4,0.07301100000000815,128.0,1,streaming
82,274.77272727272725,414.4692454347554,1.2,0.0510792380952396,22,1.0726640000000316,6045.0,1,streaming
433,109.13636363636364,205.4454615277195,1.2,0.26702266666666763,22,5.607476000000019,2401.0,1,streaming
311,1282.492665036675,129.9226983050758,-1.0,0.002558801713586293,818,2.0905410000000018,1049079.0,1,streaming
318,1283.0880195599022,128.97276885921062,-1.0,0.0025180673194614405,818,2.057260999999997,1049566.0,1,streaming
448,206.75,310.0757351655585,1.0,0.2258707948717949,40,8.808961,8270.0,1,streaming
181,32.0,0.0,1.0,0.034769333333334394,4,0.10430800000000318,128.0,1,streaming
167,154.53571428571428,316.6965462093838,1.1538461538461535,0.005401814814814754,28,0.14584899999999834,4327.0,1,streaming
155,239.0909090909091,404.47499641791535,1.0625,0.2046381249999989,33,6.5484199999999655,7890.0,1,streaming
480,49.66666666666666,30.59956426705017,0.5,0.0019234999999895308,3,0.0038469999999790616,149.0,1,streaming
267,354.0,-1.0,0.0,-1.0,1,0.0016279999999824213,354.0,0,streaming
124,1316.2772898368885,61.97932585021228,-1.0,0.02732876758793975,797,21.753699000000037,1049073.0,1,streaming
302,1282.492665036675,129.9226983050758,-1.0,8.83880048959604e-05,818,0.07221299999999964,1049079.0,1,streaming
408,332.8333333333333,484.572385885866,0.92,0.18586712765957444,48,8.735755000000001,15976.0,1,streaming
225,506.0,-1.0,0.0,-1.0,1,0.0017739999999548672,506.0,0,streaming
377,1289.487714987715,118.09155545613348,-1.0,0.002301455104551044,814,1.8710829999999987,1049643.0,1,streaming
51,449.68571428571437,572.9378249518043,1.0588235294117647,0.08073764705882358,35,2.745080000000001,15739.0,1,streaming
122,1317.3869346733668,53.42551182121936,-1.0,0.018496242767295588,796,14.704512999999993,1048640.0,1,streaming
49,145.8,306.85663281644787,1.1428571428571428,0.004857517241379226,30,0.14086799999999755,4374.0,1,streaming
80,126.93333333333334,149.51324196809298,1.5,34.8889215,15,488.444901,1904.0,1,streaming
56,32.0,0.0,1.0,0.001428999999996942,4,0.004286999999990826,128.0,1,streaming
7,32.0,0.0,1.0,0.034688333333335215,4,0.10406500000000564,128.0,1,streaming
248,391.0,-1.0,0.0,-1.0,1,0.0019409999999311367,391.0,0,streaming
308,1285.5870098039215,124.61457547175137,-1.0,0.00242983312883436,816,1.980314000000004,1049039.0,1,streaming
368,1290.2570725707258,118.89023620888236,-1.0,0.002229453201970444,813,1.8103160000000005,1048979.0,1,streaming
30,179.05714285714282,307.05909977771785,1.1875,0.014484617647058644,35,0.4924769999999938,6267.0,1,streaming
307,1283.0880195599022,128.97276885921062,-1.0,0.002522782129742963,818,2.0611130000000006,1049566.0,1,streaming
287,333.0,-1.0,0.0,-1.0,1,0.002411999999992531,333.0,0,streaming
330,1281.8973105134473,130.8630207539018,-1.0,0.002192778457772337,818,1.7914999999999992,1048592.0,1,streaming
437,20.0,0.0,2.0,0.023102999999998985,3,0.04620599999999797,60.0,1,streaming
434,109.13636363636364,205.4454615277195,1.2,0.2726750476190481,22,5.7261760000000095,2401.0,1,streaming
32,168.69230769230768,319.50324550251395,1.2941176470588236,5.249584552631577,39,199.48421299999998,6579.0,1,streaming
421,109.13636363636364,205.4454615277195,1.2,0.26993319047618936,22,5.668596999999977,2401.0,1,streaming
125,1320.0,0.0,-1.0,0.0010696549118388073,795,0.8493060000000128,1049400.0,1,streaming
436,174.54166666666663,368.243891199565,1.0,0.2538282173913043,24,5.838048999999998,4189.0,1,streaming
442,109.04545454545456,205.4232511699007,1.2,0.27117014285714314,22,5.6945730000000045,2399.0,1,streaming
252,124.0,-1.0,0.0,-1.0,1,0.002024000000062643,124.0,0,streaming
161,31.375,14.090903854209332,1.0,0.009865142857142826,8,0.06905599999999977,251.0,1,streaming
458,157.57142857142858,254.9105040585128,1.1538461538461535,0.2724892222222222,28,7.357208999999999,4412.0,1,streaming
490,405.0,-1.0,0.0,-1.0,1,0.0023510000000328546,405.0,0,streaming
328,1282.492665036675,129.9226983050758,-1.0,0.002111773561811513,818,1.725319000000006,1049079.0,1,streaming
8,147.4318181818182,143.35342530073896,1.3157894736842106,11.623896860465115,44,499.82756500000005,6487.0,1,streaming
107,1319.3106918238993,19.435557118414298,-1.0,0.006081850125944593,795,4.828989000000006,1048852.0,1,streaming
53,283.25581395348837,449.0520222818211,0.9545454545454546,0.1554950000000087,43,6.530790000000366,12180.0,1,streaming
194,20.0,-1.0,0.0,-1.0,1,0.08576099999999087,20.0,1,streaming
71,32.0,0.0,1.0,0.034795000000002574,4,0.10438500000000772,128.0,1,streaming
321,1281.8973105134473,130.86302075390185,-1.0,0.0022742962056303555,818,1.8581000000000003,1048592.0,1,streaming
158,196.03030303030303,354.0435606009948,1.2,0.19363903124999385,33,6.196448999999803,6469.0,1,streaming
375,1290.6482164821648,115.97126464789413,-1.0,0.0024651465517241053,813,2.0016989999999737,1049297.0,1,streaming
91,159.5185185185185,321.60898025760446,1.0769230769230769,0.005496346153846114,27,0.14290499999999895,4307.0,1,streaming
319,1284.0379436964506,130.9253726951895,-1.0,0.002440636029411759,817,1.9915589999999952,1049059.0,1,streaming
427,32.0,0.0,1.0,0.0041200000000003465,2,0.0041200000000003465,64.0,1,streaming
419,105.2608695652174,201.58062167672043,1.0909090909090908,0.2592064090909089,23,5.7025409999999965,2421.0,1,streaming
144,125.91666666666669,157.88226818126412,1.4,0.0013503636363649011,12,0.014854000000013913,1511.0,1,streaming
405,1282.492665036675,129.9226983050758,-1.0,9.207588739291908e-05,818,0.07522600000001489,1049079.0,1,streaming
204,110.66666666666669,121.0944534925802,1.0,0.13668159999999716,6,0.6834079999999858,664.0,1,streaming
174,46.57142857142857,11.257232107639725,-1.0,1.3950360000000002,14,18.135468000000003,652.0,1,streaming
79,207.1875,359.0218285663098,1.1333333333333333,0.10579229032258068,32,3.279561000000001,6630.0,1,streaming
138,1318.8467336683416,32.53764730988261,-1.0,0.029651382389937062,796,23.572848999999962,1049802.0,1,streaming
411,24.42857142857143,11.716898663286045,0.75,0.01450800000000002,7,0.08704800000000013,171.0,1,streaming
62,153.89285714285714,316.50116602508444,1.1538461538461535,0.005371962962963268,28,0.14504300000000825,4309.0,1,streaming
423,31.06849315068493,15.08892968658672,-1.0,2.4754882916666667,73,178.23515700000004,2268.0,1,streaming
173,153.75,316.4601226999372,1.1538461538461535,0.005123666666666741,28,0.138339000000002,4305.0,1,streaming
334,1281.3492063492065,131.72029957091468,-1.0,0.002209086797066011,819,1.8070329999999968,1049425.0,1,streaming
209,96.9090909090909,131.77439398111798,1.2,0.003564399999999068,11,0.03564399999999068,1066.0,1,streaming
24,127.16666666666669,145.7345760849726,1.0,0.08936820000000126,6,0.4468410000000063,763.0,1,streaming
11,373.9259259259259,525.8333258834843,1.0769230769230769,1.7564704999999994,27,45.668233,10096.0,1,streaming
143,105.7,108.16244169351694,1.3076923076923077,0.013330310344827012,30,0.38657899999998335,3171.0,1,streaming
121,1319.2754716981133,20.428614781398974,-1.0,0.014555091939546582,795,11.556742999999983,1048824.0,1,streaming
61,96.9090909090909,131.77439398111798,1.2,0.0033908999999994194,11,0.033908999999994194,1066.0,1,streaming
135,1320.0,0.0,-1.0,0.00029981738035268416,795,0.2380550000000312,1049400.0,1,streaming
343,95.4090909090909,182.01011460405655,1.0,0.2668942380952381,22,5.604779,2099.0,1,streaming
189,32.0,0.0,1.0,0.0012976666666588699,4,0.003892999999976609,128.0,1,streaming
378,1289.502457002457,117.77792753889808,-1.0,0.0023127884378843946,814,1.8802970000000128,1049655.0,1,streaming
141,1320.0,0.0,-1.0,0.0008795062972292237,795,0.6983280000000036,1049400.0,1,streaming
97,1320.0,0.0,-1.0,0.001977926952141055,795,1.5704739999999973,1049400.0,1,streaming
150,24.42857142857143,11.716898663286045,0.75,0.0437281666666672,7,0.2623690000000032,171.0,1,streaming
426,98.4090909090909,190.23510744312185,1.0,0.27862985714285715,22,5.851227,2165.0,1,streaming
428,109.04545454545456,205.4232511699007,1.2,0.268220714285714,22,5.632634999999992,2399.0,1,streaming
177,380.71428571428567,511.0114775215232,1.0,0.01956551851851726,28,0.5282689999999661,10660.0,1,streaming
228,65.2,9.85900603509299,-1.0,8.68335774999997,5,34.73343099999988,326.0,0,streaming
182,32.0,0.0,1.0,0.002497999999988565,2,0.002497999999988565,64.0,1,streaming
22,32.0,0.0,1.0,0.034766999999997474,4,0.10430099999999244,128.0,1,streaming
119,1318.9032663316584,30.94266459861386,-1.0,0.009856778616352169,796,7.836138999999973,1049847.0,1,streaming
447,32.0,0.0,1.0,0.002025333333331029,4,0.006075999999993087,128.0,1,streaming
313,1285.033047735618,125.54074268210863,-1.0,0.002430443627450981,817,1.9832420000000008,1049872.0,1,streaming
16,448.5178571428572,564.9244119085428,0.7872340425531915,0.4043834425531915,1176,475.150545,527457.0,1,streaming
95,1320.0,0.0,-1.0,0.001248671284634768,795,0.991445000000006,1049400.0,1,streaming
110,1320.0,0.0,-1.0,0.004177557934508814,795,3.3169809999999984,1049400.0,1,streaming
175,178.97142857142856,307.054841405004,1.1875,0.008496117647058847,35,0.2888680000000008,6264.0,1,streaming
407,1278.0444444444445,154.2915537355897,-1.0,0.0014217662957074426,630,0.8942909999999813,805168.0,1,streaming
131,1316.4981179422834,60.300287581263284,-1.0,0.0372466871859296,797,29.64836299999996,1049249.0,1,streaming
88,110.78125,112.53178314477177,1.2857142857142858,0.04094119354838752,32,1.2691770000000129,3545.0,1,streaming
376,1290.8560885608854,115.8448520936644,-1.0,0.0019486194581280786,813,1.5822789999999998,1049466.0,1,streaming
280,476.0,-1.0,0.0,-1.0,1,0.002479999999991378,476.0,0,streaming
85,32.0,0.0,1.0,0.0028620000000003643,2,0.0028620000000003643,64.0,1,streaming
1,243.9375,411.0163592615812,1.1333333333333333,0.2001230322580634,32,6.203813999999966,7806.0,1,streaming
226,429.0,-1.0,0.0,-1.0,1,0.0029129999999781826,429.0,0,streaming
486,498.0,-1.0,0.0,-1.0,1,0.005701999999985219,498.0,0,streaming
149,410.0294117647058,542.1375474184164,1.125,0.06542748484848418,34,2.1591069999999766,13941.0,1,streaming
147,394.38888888888886,501.5139595604363,1.25,0.048918058823530564,18,0.8316070000000195,7099.0,1,streaming
178,301.5818181818182,407.17535083789926,1.2,0.012604777777777666,55,0.680657999999994,16587.0,1,streaming
153,212.96666666666667,369.01410900354216,1.1428571428571428,0.2264747586206897,30,6.567768000000001,6389.0,1,streaming
